的,20106911
在,6189564
一,3820770
台,3613623
是,3146207
為,3107988
將,2935122
有,2790733
與,2783969
會,2250835
表示,2219113
也,2209398
今天,2184114
及,2160122
他,2147834
和,2009202
灣,1978738
中,1856126
說,1849721
以,1802797
對,1607026
並,1554973
人,1526590
多,1497514
後,1392765
上,1363621
了,1361758
之,1361343
大,1357492
但,1332693
分,1310812
到,1302087
於,1301126
等,1287397
長,1244382
時,1216643
已,1210401
都,1203115
美國,1126570
指出,1110566
這,1109372
由,1010681
而,974598
百,964698
中國,933792
個,903490
台北,873808
要,870351
政府,865542
新,845055
問題,816995
總統,804018
被,787503
就,780848
目前,776365
零,757807
前,745108
國家,698820
中共,698392
陳,693627
點,691896
至,668998
市,667637
進行,662435
應,654477
大陸,653231
更,651088
一百,647235
認為,644767
或,644645
希望,642271
可,633765
來,621507
經濟,613528
年,612409
公司,606897
亞,596187
讓,595418
今年,587393
則,585843
沒有,585307
能,578470
民眾,568271
最,563610
向,559983
從,557498
所,554631
工作,551856
三,541633
兩,536853
可能,534933
發展,527539
法,523023
縣,520760
他們,510089
舉行,507236
仍,505657
由於,505521
比,503604
包括,502781
